type,method,metric,score
partially_annotated_batches_1,ItClust,ASW_label/batch,0.635309455
partially_annotated_batches_1,ItClust,graph_conn,0.755940949
partially_annotated_batches_2,scANVI,NMI_cluster/label,0.940795419
partially_annotated_batches_2,scANVI,ARI_cluster/label,0.967571756
partially_annotated_batches_2,scANVI,ASW_label,0.581557488
partially_annotated_batches_2,scANVI,ASW_label/batch,0.957240174
partially_annotated_batches_2,scANVI,graph_conn,1
partially_annotated_batches_2,scGEN,NMI_cluster/label,0.699085643
partially_annotated_batches_2,scGEN,ARI_cluster/label,0.611646629
partially_annotated_batches_2,scGEN,ASW_label,0.640573092
partially_annotated_batches_2,scGEN,ASW_label/batch,0.804969157
partially_annotated_batches_2,scGEN,graph_conn,1
partially_annotated_batches_2,scDREAMER,NMI_cluster/label,0.785835346
partially_annotated_batches_2,scDREAMER,ARI_cluster/label,0.762313335
partially_annotated_batches_2,scDREAMER,ASW_label,0.679991132
partially_annotated_batches_2,scDREAMER,ASW_label/batch,0.872744321
partially_annotated_batches_2,scDREAMER,graph_conn,1
partially_annotated_batches_2,ItClust,NMI_cluster/label,0.219780794
partially_annotated_batches_2,ItClust,ARI_cluster/label,0.092074831
partially_annotated_batches_2,ItClust,ASW_label,0.542091697
partially_annotated_batches_2,ItClust,ASW_label/batch,0.521030896
partially_annotated_batches_2,ItClust,graph_conn,0.897186308
partially_annotated_batches_1,scANVI,lisi_c,0.989
partially_annotated_batches_1,scANVI,lisi_b,0.31
partially_annotated_batches_1,scANVI,lisi_f1,0.471
partially_annotated_batches_1,scGEN,lisi_c,0.995
partially_annotated_batches_1,scGEN,lisi_b,0.116
partially_annotated_batches_1,scGEN,lisi_f1,0.207
partially_annotated_batches_1,scDREAMER,lisi_c,0.996
partially_annotated_batches_1,scDREAMER,lisi_b,0.151
partially_annotated_batches_1,scDREAMER,lisi_f1,0.263
partially_annotated_batches_1,ItClust,lisi_c,0.909
partially_annotated_batches_1,ItClust,lisi_b,0.114
partially_annotated_batches_1,ItClust,lisi_f1,0.203
partially_annotated_batches_2,ItClust,lisi_c,0.746
partially_annotated_batches_2,ItClust,lisi_b,0.127
partially_annotated_batches_2,ItClust,lisi_f1,0.217
partially_annotated_batches_2,scANVI,lisi_c,0.988
partially_annotated_batches_2,scANVI,lisi_b,0.32
partially_annotated_batches_2,scANVI,lisi_f1,0.484
partially_annotated_batches_2,scGEN,lisi_c,0.994
partially_annotated_batches_2,scGEN,lisi_b,0.034
partially_annotated_batches_2,scGEN,lisi_f1,0.066
partially_annotated_batches_2,scDREAMER,lisi_c,0.994
partially_annotated_batches_2,scDREAMER,lisi_b,0.144
partially_annotated_batches_2,scDREAMER,lisi_f1,0.251
partially_annotated_batches_1,scANVI,pos_rate,0.995649904
partially_annotated_batches_1,scGEN,pos_rate,0.99634592
partially_annotated_batches_1,scDREAMER,pos_rate,0.998085958
partially_annotated_batches_1,ItClust,pos_rate,0.913520097
partially_annotated_batches_2,scANVI,pos_rate,0.994605881
partially_annotated_batches_2,scGEN,pos_rate,0.996171916
partially_annotated_batches_2,scDREAMER,pos_rate,0.996693927
partially_annotated_batches_2,ItClust,pos_rate,0.759700713
partially_annotated_batches_1,scANVI,truepos_rate,0.344875587
partially_annotated_batches_1,scGEN,truepos_rate,0.035148773
partially_annotated_batches_1,scDREAMER,truepos_rate,0.002958065
partially_annotated_batches_1,ItClust,truepos_rate,0
partially_annotated_batches_2,scANVI,truepos_rate,0.371846181
