type,method,metric,score
mixing_at_edge_50,scANVI,truepos_rate,0.213776493
mixing_at_edge_50,scGEN,truepos_rate,0.331262042
mixing_at_edge_50,STACAS,truepos_rate,0.155491329
mixing_at_edge_70,scANVI,truepos_rate,0.216955684
mixing_at_edge_70,scGEN,truepos_rate,0.34026975
mixing_at_edge_70,STACAS,truepos_rate,0.154913295
randomly_missing_30,scANVI,truepos_rate,0.216522158
randomly_missing_30,scGEN,truepos_rate,0.385693642
randomly_missing_30,STACAS,truepos_rate,0.148843931
randomly_missing_50,scANVI,truepos_rate,0.221628131
randomly_missing_50,scGEN,truepos_rate,0.37504817
randomly_missing_50,STACAS,truepos_rate,0.143304432
randomly_missing_70,scANVI,truepos_rate,0.21517341
randomly_missing_70,scGEN,truepos_rate,0.34238921
randomly_missing_70,STACAS,truepos_rate,0.149566474
CellAssign,scGEN,kBET,0.070032112
Azimuth,scGEN,kBET,0.194840539
Azimuth,STACAS,kBET,0.166821898
singleR,scGEN,kBET,0.097355821
full_annotated_supervised,scDREAMER,kBET,0.144080656
full_annotated_supervised,ItClust,kBET,0.209828
full_annotated_supervised,scDREAMER,pos_rate,0.990077071
full_annotated_supervised,ItClust,pos_rate,0.902071291
mixing_at_edge_30,scDREAMER,pos_rate,0.685115607
mixing_at_edge_30,ItClust,pos_rate,0.894990366
mixing_at_edge_50,scDREAMER,pos_rate,0.659200385
mixing_at_edge_50,ItClust,pos_rate,0.875144509
mixing_at_edge_70,scDREAMER,pos_rate,0.686464355
mixing_at_edge_70,ItClust,pos_rate,0.920568401
randomly_missing_30,scDREAMER,pos_rate,0.970375723
randomly_missing_30,ItClust,pos_rate,0.861897881
randomly_missing_50,scDREAMER,pos_rate,0.95982659
randomly_missing_50,ItClust,pos_rate,0.786319846
randomly_missing_70,scDREAMER,pos_rate,0.945809249
randomly_missing_70,ItClust,pos_rate,0.730298651
full_annotated_supervised,scDREAMER,truepos_rate,0.193737958
full_annotated_supervised,ItClust,truepos_rate,0.207947977
mixing_at_edge_30,scDREAMER,truepos_rate,0.479576108
mixing_at_edge_30,ItClust,truepos_rate,0.272013487
mixing_at_edge_50,scDREAMER,truepos_rate,0.424903661
mixing_at_edge_50,ItClust,truepos_rate,0.282899807
mixing_at_edge_70,scDREAMER,truepos_rate,0.466473988
mixing_at_edge_70,ItClust,truepos_rate,0.293208092
randomly_missing_30,scDREAMER,truepos_rate,0.312524085
randomly_missing_30,ItClust,truepos_rate,0.236223507
randomly_missing_50,scDREAMER,truepos_rate,0.337813102
randomly_missing_50,ItClust,truepos_rate,0.238391137
randomly_missing_70,scDREAMER,truepos_rate,0.326926782
randomly_missing_70,ItClust,truepos_rate,0.214258189
full_annotated_supervised,scDREAMER,lisi_c,0.997765928
full_annotated_supervised,ItClust,lisi_c,0.98957057
mixing_at_edge_30,scDREAMER,lisi_c,0.936987878
mixing_at_edge_30,ItClust,lisi_c,0.987950232
mixing_at_edge_50,scDREAMER,lisi_c,0.931811355
mixing_at_edge_50,ItClust,lisi_c,0.984873468
mixing_at_edge_70,scDREAMER,lisi_c,0.93628711
mixing_at_edge_70,ItClust,lisi_c,0.99059344
randomly_missing_30,scDREAMER,lisi_c,0.995001696
randomly_missing_30,ItClust,lisi_c,0.978890497
randomly_missing_50,scDREAMER,lisi_c,0.99333754
randomly_missing_50,ItClust,lisi_c,0.965836402
randomly_missing_70,scDREAMER,lisi_c,0.99170389
randomly_missing_70,ItClust,lisi_c,0.972485152
full_annotated_supervised,scDREAMER,lisi_b,0.119798718
full_annotated_supervised,ItClust,lisi_b,0.126956451
mixing_at_edge_30,scDREAMER,lisi_b,0.348674847
mixing_at_edge_30,ItClust,lisi_b,0.176885657
mixing_at_edge_50,scDREAMER,lisi_b,0.336484721
mixing_at_edge_50,ItClust,lisi_b,0.184988332
mixing_at_edge_70,scDREAMER,lisi_b,0.345918745
mixing_at_edge_70,ItClust,lisi_b,0.191806146
randomly_missing_30,scDREAMER,lisi_b,0.181454766
randomly_missing_30,ItClust,lisi_b,0.147463758
randomly_missing_50,scDREAMER,lisi_b,0.199870278
randomly_missing_50,ItClust,lisi_b,0.13779348
randomly_missing_70,scDREAMER,lisi_b,0.187776255
randomly_missing_70,ItClust,lisi_b,0.112947758
full_annotated_supervised,scDREAMER,lisi_f1,0.213913494
full_annotated_supervised,ItClust,lisi_f1,0.225041339
mixing_at_edge_30,scDREAMER,lisi_f1,0.508226767
mixing_at_edge_30,ItClust,lisi_f1,0.300049522
mixing_at_edge_50,scDREAMER,lisi_f1,0.494427586
mixing_at_edge_50,ItClust,lisi_f1,0.311472859
mixing_at_edge_70,scDREAMER,lisi_f1,0.50519074
mixing_at_edge_70,ItClust,lisi_f1,0.321383587
randomly_missing_30,scDREAMER,lisi_f1,0.306934945
randomly_missing_30,ItClust,lisi_f1,0.256315224
randomly_missing_50,scDREAMER,lisi_f1,0.332781343
randomly_missing_50,ItClust,lisi_f1,0.241178607
randomly_missing_70,scDREAMER,lisi_f1,0.31576359
randomly_missing_70,ItClust,lisi_f1,0.202389326
mixing_at_edge_50,scDREAMER,NMI_cluster/label,0.594351383
mixing_at_edge_50,scDREAMER,ARI_cluster/label,0.540677064
mixing_at_edge_50,scDREAMER,ASW_label,0.526384146
mixing_at_edge_50,scDREAMER,ASW_label/batch,0.818822653
mixing_at_edge_50,scDREAMER,isolated_label_F1,0.646313058
mixing_at_edge_50,scDREAMER,isolated_label_silhouette,0.523424403
mixing_at_edge_50,scDREAMER,graph_conn,0.904401079
mixing_at_edge_50,ItClust,NMI_cluster/label,0.808737141
mixing_at_edge_50,ItClust,ARI_cluster/label,0.676038719
mixing_at_edge_50,ItClust,ASW_label,0.746037166
mixing_at_edge_50,ItClust,ASW_label/batch,0.382426423
mixing_at_edge_50,ItClust,isolated_label_F1,0.84798732
mixing_at_edge_50,ItClust,isolated_label_silhouette,0.773148296
mixing_at_edge_50,ItClust,graph_conn,0.851995667
mixing_at_edge_70,scDREAMER,NMI_cluster/label,0.616195749
mixing_at_edge_70,scDREAMER,ARI_cluster/label,0.568140518
mixing_at_edge_70,scDREAMER,ASW_label,0.536306423
mixing_at_edge_70,scDREAMER,ASW_label/batch,0.833233577
mixing_at_edge_70,scDREAMER,isolated_label_F1,0.693815083
mixing_at_edge_70,scDREAMER,isolated_label_silhouette,0.534684174
mixing_at_edge_70,scDREAMER,graph_conn,0.917489212
mixing_at_edge_70,ItClust,NMI_cluster/label,0.865253237
mixing_at_edge_70,ItClust,ARI_cluster/label,0.831926104
mixing_at_edge_70,ItClust,ASW_label,0.836999712
mixing_at_edge_70,ItClust,ASW_label/batch,0.444469613
mixing_at_edge_70,ItClust,isolated_label_F1,0.880752799
mixing_at_edge_70,ItClust,isolated_label_silhouette,0.80944966
mixing_at_edge_70,ItClust,graph_conn,0.89406384
randomly_missing_30,scDREAMER,NMI_cluster/label,0.804572401
randomly_missing_30,scDREAMER,ARI_cluster/label,0.593656067
randomly_missing_30,scDREAMER,ASW_label,0.648611837
randomly_missing_30,scDREAMER,ASW_label/batch,0.815320059
randomly_missing_30,scDREAMER,isolated_label_F1,0.994139561
randomly_missing_30,scDREAMER,isolated_label_silhouette,0.518448481
randomly_missing_30,scDREAMER,graph_conn,0.994139561
randomly_missing_30,ItClust,NMI_cluster/label,0.685308816
randomly_missing_30,ItClust,ARI_cluster/label,0.498968124
randomly_missing_30,ItClust,ASW_label,0.585226197
randomly_missing_30,ItClust,ASW_label/batch,0.490678046
randomly_missing_30,ItClust,isolated_label_F1,0.706943805
