type,metric,method,score
randomly_missing_70,kBET,STACAS,0.284514516
unsupervised,kBET,scVI,0.251843
unsupervised,kBET,Harmony,0.3322725
unsupervised,kBET,scCRAFT,0.49340963
unsupervised,kBET,Seurat,0.344004146
full_annotated_supervised,truepos_rate,scANVI,0.147913806
full_annotated_supervised,truepos_rate,scGEN,0.30493046
full_annotated_supervised,truepos_rate,STACAS,0.143944368
CellAssign,truepos_rate,scANVI,0.138542351
CellAssign,truepos_rate,scGEN,0.085686146
CellAssign,truepos_rate,STACAS,0.139855548
Azimuth,truepos_rate,scANVI,0.160836865
Azimuth,truepos_rate,scGEN,0.184175968
Azimuth,truepos_rate,STACAS,0.133856623
singleR,truepos_rate,scANVI,0.155166239
singleR,truepos_rate,scGEN,0.307318092
singleR,truepos_rate,STACAS,0.142034263
partially_annotated_batches_70,truepos_rate,scANVI,0.128066615
partially_annotated_batches_70,truepos_rate,scGEN,0.005372172
partially_annotated_batches_70,truepos_rate,STACAS,0.111263654
partially_annotated_batches_50,truepos_rate,scANVI,0.13848266
partially_annotated_batches_50,truepos_rate,scGEN,0.004894646
partially_annotated_batches_50,truepos_rate,STACAS,0.106428699
partially_annotated_batches_30,truepos_rate,scANVI,0.140541992
partially_annotated_batches_30,truepos_rate,scGEN,0.030681072
partially_annotated_batches_30,truepos_rate,STACAS,0.09046141
mixing_at_edge_30,truepos_rate,scANVI,0.158300006
mixing_at_edge_30,truepos_rate,scGEN,0.284247597
mixing_at_edge_30,truepos_rate,STACAS,0.143944368
mixing_at_edge_50,truepos_rate,scANVI,0.15749418
mixing_at_edge_50,truepos_rate,scGEN,0.254372351
mixing_at_edge_50,truepos_rate,STACAS,0.14107921
mixing_at_edge_70,truepos_rate,scANVI,0.161493464
mixing_at_edge_70,truepos_rate,scGEN,0.335462305
mixing_at_edge_70,truepos_rate,STACAS,0.143407151
randomly_missing_30,truepos_rate,scANVI,0.160777174
randomly_missing_30,truepos_rate,scGEN,0.310302632
randomly_missing_30,truepos_rate,STACAS,0.137318689
randomly_missing_50,truepos_rate,scANVI,0.146749836
randomly_missing_50,truepos_rate,scGEN,0.177818898
