type,metric,method,score
Azimuth,lisi_b,scANVI,0.280056529
Azimuth,lisi_b,scGEN,0.275409182
Azimuth,lisi_b,STACAS,0.240841159
partially_annotated_batches_70,lisi_b,scANVI,0.268641314
partially_annotated_batches_70,lisi_b,scGEN,0.091074769
partially_annotated_batches_70,lisi_b,STACAS,0.240695762
partially_annotated_batches_50,lisi_b,scANVI,0.270882435
partially_annotated_batches_50,lisi_b,scGEN,0.081112699
partially_annotated_batches_50,lisi_b,STACAS,0.213256241
partially_annotated_batches_30,lisi_b,scANVI,0.27838679
partially_annotated_batches_30,lisi_b,scGEN,0.136970573
partially_annotated_batches_30,lisi_b,STACAS,0.223274238
mixing_at_edge_30,lisi_b,scANVI,0.277852401
mixing_at_edge_30,lisi_b,scGEN,0.278279041
mixing_at_edge_30,lisi_b,STACAS,0.234128775
mixing_at_edge_50,lisi_b,scANVI,0.286952771
mixing_at_edge_50,lisi_b,scGEN,0.279735688
mixing_at_edge_50,lisi_b,STACAS,0.233791836
mixing_at_edge_70,lisi_b,scANVI,0.281846119
mixing_at_edge_70,lisi_b,scGEN,0.271971773
mixing_at_edge_70,lisi_b,STACAS,0.233555621
randomly_missing_30,lisi_b,scANVI,0.281203624
randomly_missing_30,lisi_b,scGEN,0.256150959
randomly_missing_30,lisi_b,STACAS,0.234358966
randomly_missing_50,lisi_b,scANVI,0.283878682
randomly_missing_50,lisi_b,scGEN,0.225276262
randomly_missing_50,lisi_b,STACAS,0.229927699
randomly_missing_70,lisi_b,scANVI,0.278854327
randomly_missing_70,lisi_b,scGEN,0.193532639
randomly_missing_70,lisi_b,STACAS,0.225636309
unsupervised,lisi_b,scVI,0.282697171
unsupervised,lisi_b,Harmony,0.234260657
unsupervised,lisi_b,scCRAFT,0.440570399
unsupervised,lisi_b,Seurat,0.249839948
singleR,NMI_cluster/label,scANVI,0.908096998
singleR,ARI_cluster/label,scANVI,0.942748143
singleR,ASW_label,scANVI,0.561526381
singleR,ASW_label/batch,scANVI,0.882156362
singleR,isolated_label_F1,scANVI,0.194444444
singleR,isolated_label_silhouette,scANVI,0.628250893
singleR,graph_conn,scANVI,0.989004328
singleR,NMI_cluster/label,scGEN,0.740917237
singleR,ARI_cluster/label,scGEN,0.558709141
singleR,ASW_label,scGEN,0.560073559
singleR,ASW_label/batch,scGEN,0.866373127
singleR,isolated_label_F1,scGEN,0.081395349
singleR,isolated_label_silhouette,scGEN,0.604377386
singleR,graph_conn,scGEN,0.955854088
singleR,NMI_cluster/label,STACAS,0.924772941
singleR,ARI_cluster/label,STACAS,0.95660876
singleR,ASW_label,STACAS,0.560073559
singleR,ASW_label/batch,STACAS,0.866373127
singleR,isolated_label_F1,STACAS,0.081395349
singleR,isolated_label_silhouette,STACAS,0.604377386
singleR,graph_conn,STACAS,0.986682056
singleR,pos_rate,scANVI,0.962459
singleR,pos_rate,scGEN,0.96252
singleR,pos_rate,STACAS,0.975888
singleR,truepos_rate,scANVI,0.146258
singleR,truepos_rate,scGEN,0.028507
singleR,truepos_rate,STACAS,0.061958
full_annotated_supervised,pos_rate,scANVI,0.981931388
full_annotated_supervised,pos_rate,scGEN,0.993651569
full_annotated_supervised,pos_rate,STACAS,0.975399829
CellAssign,pos_rate,scANVI,0.965327799
CellAssign,pos_rate,scGEN,0.972286656
CellAssign,pos_rate,STACAS,0.975827127
Azimuth,pos_rate,scANVI,0.969478696
Azimuth,pos_rate,scGEN,0.971371017
Azimuth,pos_rate,STACAS,0.974606275
partially_annotated_batches_70,pos_rate,scANVI,0.972713954
partially_annotated_batches_70,pos_rate,scGEN,0.979306556
partially_annotated_batches_70,pos_rate,STACAS,0.976315468
partially_annotated_batches_50,pos_rate,scANVI,0.974178977
partially_annotated_batches_50,pos_rate,scGEN,0.983030155
partially_annotated_batches_50,pos_rate,STACAS,0.975766085
partially_annotated_batches_30,pos_rate,scANVI,0.977353193
partially_annotated_batches_30,pos_rate,scGEN,0.987303138
partially_annotated_batches_30,pos_rate,STACAS,0.976193383
mixing_at_edge_30,pos_rate,scANVI,0.970760591
mixing_at_edge_30,pos_rate,scGEN,0.970577463
mixing_at_edge_30,pos_rate,STACAS,0.97613234
mixing_at_edge_50,pos_rate,scANVI,0.970943719
mixing_at_edge_50,pos_rate,scGEN,0.974056892
mixing_at_edge_50,pos_rate,STACAS,0.975949213
mixing_at_edge_70,pos_rate,scANVI,0.972164571
mixing_at_edge_70,pos_rate,scGEN,0.977963619
mixing_at_edge_70,pos_rate,STACAS,0.976010255
randomly_missing_30,pos_rate,scANVI,0.980893664
randomly_missing_30,pos_rate,scGEN,0.986753754
randomly_missing_30,pos_rate,STACAS,0.976254426
randomly_missing_50,pos_rate,scANVI,0.977841533
randomly_missing_50,pos_rate,scGEN,0.985777072
randomly_missing_50,pos_rate,STACAS,0.975827127
randomly_missing_70,pos_rate,scANVI,0.980527408
randomly_missing_70,pos_rate,scGEN,0.981809303
randomly_missing_70,pos_rate,STACAS,0.97613234
unsupervised,pos_rate,scVI,0.964900501
unsupervised,pos_rate,Harmony,0.969722867
unsupervised,pos_rate,scCRAFT,0.966548651
unsupervised,pos_rate,Seurat,0.969295568
full_annotated_supervised,lisi_c,scANVI,0.997117666
full_annotated_supervised,lisi_c,scGEN,0.998928975
full_annotated_supervised,lisi_c,STACAS,0.997015879
CellAssign,lisi_c,scANVI,0.992363462
CellAssign,lisi_c,scGEN,0.993780525
CellAssign,lisi_c,STACAS,0.997071407
Azimuth,lisi_c,scANVI,0.995323292
Azimuth,lisi_c,scGEN,0.99678582
Azimuth,lisi_c,STACAS,0.996854878
partially_annotated_batches_70,lisi_c,scANVI,0.995804219
partially_annotated_batches_70,lisi_c,scGEN,0.995666177
partially_annotated_batches_70,lisi_c,STACAS,0.996744118
partially_annotated_batches_50,lisi_c,scANVI,0.995800148
partially_annotated_batches_50,lisi_c,scGEN,0.996546835
partially_annotated_batches_50,lisi_c,STACAS,0.9971372
partially_annotated_batches_30,lisi_c,scANVI,0.996130713
partially_annotated_batches_30,lisi_c,scGEN,0.997113871
partially_annotated_batches_30,lisi_c,STACAS,0.997056378
mixing_at_edge_30,lisi_c,scANVI,0.99592074
mixing_at_edge_30,lisi_c,scGEN,0.996662607
mixing_at_edge_30,lisi_c,STACAS,0.997102302
mixing_at_edge_50,lisi_c,scANVI,0.996035199
mixing_at_edge_50,lisi_c,scGEN,0.997059224
mixing_at_edge_50,lisi_c,STACAS,0.997129818
mixing_at_edge_70,lisi_c,scANVI,0.996356524
mixing_at_edge_70,lisi_c,scGEN,0.99739181
mixing_at_edge_70,lisi_c,STACAS,0.997186103
randomly_missing_30,lisi_c,scANVI,0.996452916
randomly_missing_30,lisi_c,scGEN,0.997479474
randomly_missing_30,lisi_c,STACAS,0.997050843
randomly_missing_50,lisi_c,scANVI,0.996161609
randomly_missing_50,lisi_c,scGEN,0.996873104
randomly_missing_50,lisi_c,STACAS,0.997016156
randomly_missing_70,lisi_c,scANVI,0.996789837
randomly_missing_70,lisi_c,scGEN,0.996156287
randomly_missing_70,lisi_c,STACAS,0.997058666
unsupervised,lisi_c,scVI,0.992555943
unsupervised,lisi_c,Harmony,0.996136684
unsupervised,lisi_c,scCRAFT,0.995127202
unsupervised,lisi_c,Seurat,0.995446138
full_annotated_supervised,lisi_f1,scANVI,0.437142576
full_annotated_supervised,lisi_f1,scGEN,0.425179552
full_annotated_supervised,lisi_f1,STACAS,0.414976797
CellAssign,lisi_f1,scANVI,0.412200657
CellAssign,lisi_f1,scGEN,0.204598397
CellAssign,lisi_f1,STACAS,0.369600907
Azimuth,lisi_f1,scANVI,0.437119643
