type,metric,method,score
mixing_at_edge_50,lisi_b,scGEN,0.16913923
mixing_at_edge_50,lisi_b,STACAS,0.16772738
mixing_at_edge_70,lisi_b,scANVI,0.15081635
mixing_at_edge_70,lisi_b,scGEN,0.17179322
mixing_at_edge_70,lisi_b,STACAS,0.16762287
randomly_missing_30,lisi_b,scANVI,0.14263295
randomly_missing_30,lisi_b,scGEN,0.15940911
randomly_missing_30,lisi_b,STACAS,0.16107125
randomly_missing_50,lisi_b,scANVI,0.14457123
randomly_missing_50,lisi_b,scGEN,0.14159063
randomly_missing_50,lisi_b,STACAS,0.16035964
randomly_missing_70,lisi_b,scANVI,0.14425097
randomly_missing_70,lisi_b,scGEN,0.11888055
randomly_missing_70,lisi_b,STACAS,0.16150456
unsupervised,lisi_b,scVI,0.1546999
unsupervised,lisi_b,Harmony,0.15252973
unsupervised,lisi_b,scCRAFT,0.22523384
unsupervised,lisi_b,Seurat,0.17894157
full_annotated_supervised,lisi_c,scANVI,0.995459202
full_annotated_supervised,lisi_c,scGEN,0.997848459
full_annotated_supervised,lisi_c,STACAS,0.981092404
CellAssign,lisi_c,scANVI,0.978926327
CellAssign,lisi_c,scGEN,0.980060283
CellAssign,lisi_c,STACAS,0.97651627
Azimuth,lisi_c,scANVI,0.979961845
Azimuth,lisi_c,scGEN,0.977954047
Azimuth,lisi_c,STACAS,0.977322587
singleR,lisi_c,scANVI,0.975913802
singleR,lisi_c,scGEN,0.968834318
singleR,lisi_c,STACAS,0.977966682
partially_annotated_batches_70,lisi_c,scANVI,0.982748432
partially_annotated_batches_70,lisi_c,scGEN,0.986862775
partially_annotated_batches_70,lisi_c,STACAS,0.977349967
partially_annotated_batches_50,lisi_c,scANVI,0.988183722
partially_annotated_batches_50,lisi_c,scGEN,0.989207341
partially_annotated_batches_50,lisi_c,STACAS,0.97997412
partially_annotated_batches_30,lisi_c,scANVI,0.992750448
partially_annotated_batches_30,lisi_c,scGEN,0.993749301
partially_annotated_batches_30,lisi_c,STACAS,0.980500449
mixing_at_edge_30,lisi_c,scANVI,0.981165285
mixing_at_edge_30,lisi_c,scGEN,0.98109058
mixing_at_edge_30,lisi_c,STACAS,0.978817215
mixing_at_edge_50,lisi_c,scANVI,0.983920326
mixing_at_edge_50,lisi_c,scGEN,0.986839246
mixing_at_edge_50,lisi_c,STACAS,0.978722916
mixing_at_edge_70,lisi_c,scANVI,0.989557691
mixing_at_edge_70,lisi_c,scGEN,0.992570525
mixing_at_edge_70,lisi_c,STACAS,0.979166126
randomly_missing_30,lisi_c,scANVI,0.995154031
randomly_missing_30,lisi_c,scGEN,0.99174816
randomly_missing_30,lisi_c,STACAS,0.980018195
randomly_missing_50,lisi_c,scANVI,0.99455106
randomly_missing_50,lisi_c,scGEN,0.98901907
randomly_missing_50,lisi_c,STACAS,0.978761503
randomly_missing_70,lisi_c,scANVI,0.993568791
randomly_missing_70,lisi_c,scGEN,0.986353485
randomly_missing_70,lisi_c,STACAS,0.976824752
unsupervised,lisi_c,scVI,0.970320223
unsupervised,lisi_c,Harmony,0.978680072
unsupervised,lisi_c,scCRAFT,0.976275678
unsupervised,lisi_c,Seurat,0.968451736
full_annotated_supervised,lisi_f1,scANVI,0.248738482
full_annotated_supervised,lisi_f1,scGEN,0.296243858
full_annotated_supervised,lisi_f1,STACAS,0.282371739
CellAssign,lisi_f1,scANVI,0.245356682
CellAssign,lisi_f1,scGEN,0.1621824
CellAssign,lisi_f1,STACAS,0.28082778
Azimuth,lisi_f1,scANVI,0.244398178
Azimuth,lisi_f1,scGEN,0.279047402
Azimuth,lisi_f1,STACAS,0.284128141
singleR,lisi_f1,scANVI,0.26936623
singleR,lisi_f1,scGEN,0.220455573
singleR,lisi_f1,STACAS,0.275104428
partially_annotated_batches_70,lisi_f1,scANVI,0.255233517
partially_annotated_batches_70,lisi_f1,scGEN,0.093292825
partially_annotated_batches_70,lisi_f1,STACAS,0.281629823
partially_annotated_batches_50,lisi_f1,scANVI,0.257020453
partially_annotated_batches_50,lisi_f1,scGEN,0.121471557
partially_annotated_batches_50,lisi_f1,STACAS,0.266304738
partially_annotated_batches_30,lisi_f1,scANVI,0.245894251
partially_annotated_batches_30,lisi_f1,scGEN,0.174464733
partially_annotated_batches_30,lisi_f1,STACAS,0.269061975
mixing_at_edge_30,lisi_f1,scANVI,0.266444007
mixing_at_edge_30,lisi_f1,scGEN,0.285570305
mixing_at_edge_30,lisi_f1,STACAS,0.286221764
mixing_at_edge_50,lisi_f1,scANVI,0.266207978
mixing_at_edge_50,lisi_f1,scGEN,0.288782593
mixing_at_edge_50,lisi_f1,STACAS,0.28637723
mixing_at_edge_70,lisi_f1,scANVI,0.261741277
mixing_at_edge_70,lisi_f1,scGEN,0.292892812
mixing_at_edge_70,lisi_f1,STACAS,0.286243823
randomly_missing_30,lisi_f1,scANVI,0.249504967
randomly_missing_30,lisi_f1,scGEN,0.274669137
randomly_missing_30,lisi_f1,STACAS,0.276670253
randomly_missing_50,lisi_f1,scANVI,0.252446072
randomly_missing_50,lisi_f1,scGEN,0.247717366
randomly_missing_50,lisi_f1,STACAS,0.275570069
randomly_missing_70,lisi_f1,scANVI,0.251926125
randomly_missing_70,lisi_f1,scGEN,0.212187176
randomly_missing_70,lisi_f1,STACAS,0.277181035
unsupervised,lisi_f1,scVI,0.266854671
unsupervised,lisi_f1,Harmony,0.263925936
unsupervised,lisi_f1,scCRAFT,0.366023434
unsupervised,lisi_f1,Seurat,0.302069524
full_annotated_supervised,pos_rate,scANVI,0.963631392
full_annotated_supervised,pos_rate,scGEN,0.989062073
full_annotated_supervised,pos_rate,STACAS,0.86498496
CellAssign,pos_rate,scANVI,0.844168718
CellAssign,pos_rate,scGEN,0.887783702
CellAssign,pos_rate,STACAS,0.82085726
Azimuth,pos_rate,scANVI,0.847176648
Azimuth,pos_rate,scGEN,0.82854799
Azimuth,pos_rate,STACAS,0.832307903
singleR,pos_rate,scANVI,0.819421657
singleR,pos_rate,scGEN,0.806706317
singleR,pos_rate,STACAS,0.844715614
partially_annotated_batches_70,pos_rate,scANVI,0.861327591
partially_annotated_batches_70,pos_rate,scGEN,0.925485371
partially_annotated_batches_70,pos_rate,STACAS,0.836717255
partially_annotated_batches_50,pos_rate,scANVI,0.906275636
partially_annotated_batches_50,pos_rate,scGEN,0.944353295
partially_annotated_batches_50,pos_rate,STACAS,0.859584359
partially_annotated_batches_30,pos_rate,scANVI,0.944114028
partially_annotated_batches_30,pos_rate,scGEN,0.967767296
partially_annotated_batches_30,pos_rate,STACAS,0.858729833
mixing_at_edge_30,pos_rate,scANVI,0.849159147
mixing_at_edge_30,pos_rate,scGEN,0.840648072
