file_path,embedding_key,metric,score
mixing_at_edge_70,scANVI,lisi_c,0.998210831
mixing_at_edge_70,scGEN,lisi_c,0.996986445
mixing_at_edge_70,STACAS,lisi_c,0.99830997
randomly_missing_30,scANVI,lisi_c,0.998504148
randomly_missing_30,scGEN,lisi_c,0.99194791
randomly_missing_30,STACAS,lisi_c,0.998427689
randomly_missing_50,scANVI,lisi_c,0.998383618
randomly_missing_50,scGEN,lisi_c,0.990997301
randomly_missing_50,STACAS,lisi_c,0.998234223
randomly_missing_70,scANVI,lisi_c,0.998162424
randomly_missing_70,scGEN,lisi_c,0.98967095
randomly_missing_70,STACAS,lisi_c,0.998172322
unsupervised,scVI,lisi_c,0.986704
unsupervised,Harmony,lisi_c,0.995521
unsupervised,scCRAFT,lisi_c,0.998189
unsupervised,Seurat,lisi_c,0.992199
full_annotated_supervised,scANVI,lisi_b,0.208111512
full_annotated_supervised,scGEN,lisi_b,0.235869265
full_annotated_supervised,STACAS,lisi_b,0.245601116
partially_annotated_batches_70,scANVI,lisi_b,0.208756367
partially_annotated_batches_70,scGEN,lisi_b,0.125811934
partially_annotated_batches_70,STACAS,lisi_b,0.233205626
partially_annotated_batches_50,scANVI,lisi_b,0.207193498
partially_annotated_batches_50,scGEN,lisi_b,0.179220975
partially_annotated_batches_50,STACAS,lisi_b,0.229092739
partially_annotated_batches_30,scANVI,lisi_b,0.208675192
partially_annotated_batches_30,scGEN,lisi_b,0.176803453
partially_annotated_batches_30,STACAS,lisi_b,0.233866202
mixing_at_edge_30,scANVI,lisi_b,0.209361606
mixing_at_edge_30,scGEN,lisi_b,0.232101185
mixing_at_edge_30,STACAS,lisi_b,0.245175394
mixing_at_edge_50,scANVI,lisi_b,0.210210324
mixing_at_edge_50,scGEN,lisi_b,0.226965434
mixing_at_edge_50,STACAS,lisi_b,0.245342191
mixing_at_edge_70,scANVI,lisi_b,0.208832177
mixing_at_edge_70,scGEN,lisi_b,0.229754667
mixing_at_edge_70,STACAS,lisi_b,0.244293383
randomly_missing_30,scANVI,lisi_b,0.207950576
randomly_missing_30,scGEN,lisi_b,0.217749017
randomly_missing_30,STACAS,lisi_b,0.238319939
randomly_missing_50,scANVI,lisi_b,0.210131662
randomly_missing_50,scGEN,lisi_b,0.22170168
randomly_missing_50,STACAS,lisi_b,0.238236608
randomly_missing_70,scANVI,lisi_b,0.208966535
randomly_missing_70,scGEN,lisi_b,0.202530238
randomly_missing_70,STACAS,lisi_b,0.241275074
unsupervised,scVI,lisi_b,0.214427
unsupervised,Harmony,lisi_b,0.202339
unsupervised,scCRAFT,lisi_b,0.236519
unsupervised,Seurat,lisi_b,0.200133
full_annotated_supervised,scANVI,lisi_f1,0.344430734
full_annotated_supervised,scGEN,lisi_f1,0.381470213
full_annotated_supervised,STACAS,lisi_f1,0.394233889
partially_annotated_batches_70,scANVI,lisi_f1,0.345305709
partially_annotated_batches_70,scGEN,lisi_f1,0.223261514
partially_annotated_batches_70,STACAS,lisi_f1,0.378077918
partially_annotated_batches_50,scANVI,lisi_f1,0.343184798
partially_annotated_batches_50,scGEN,lisi_f1,0.303619395
partially_annotated_batches_50,STACAS,lisi_f1,0.372665882
partially_annotated_batches_30,scANVI,lisi_f1,0.345198454
partially_annotated_batches_30,scGEN,lisi_f1,0.300196322
partially_annotated_batches_30,STACAS,lisi_f1,0.378964594
mixing_at_edge_30,scANVI,lisi_f1,0.346107907
mixing_at_edge_30,scGEN,lisi_f1,0.37651532
mixing_at_edge_30,STACAS,lisi_f1,0.393670781
mixing_at_edge_50,scANVI,lisi_f1,0.347272694
mixing_at_edge_50,scGEN,lisi_f1,0.369640027
mixing_at_edge_50,STACAS,lisi_f1,0.393884436
mixing_at_edge_70,scANVI,lisi_f1,0.345403667
mixing_at_edge_70,scGEN,lisi_f1,0.373448459
mixing_at_edge_70,STACAS,lisi_f1,0.392531566
randomly_missing_30,scANVI,lisi_f1,0.344214347
randomly_missing_30,scGEN,lisi_f1,0.357107103
randomly_missing_30,STACAS,lisi_f1,0.384791886
randomly_missing_50,scANVI,lisi_f1,0.347189668
randomly_missing_50,scGEN,lisi_f1,0.362341802
randomly_missing_50,STACAS,lisi_f1,0.384668897
randomly_missing_70,scANVI,lisi_f1,0.345584523
randomly_missing_70,scGEN,lisi_f1,0.336249108
randomly_missing_70,STACAS,lisi_f1,0.388615284
unsupervised,scVI,lisi_f1,0.352295
unsupervised,Harmony,lisi_f1,0.336321
